X,Y,Z
191198.0,7405815.0,539.64160507
191149.0,7405728.0,539.926607065
191101.0,7405640.0,540.216536543
191094.0,7405541.0,540.600561207
191088.0,7405441.0,540.848938577
191083.0,7405341.0,541.417614589
191069.0,7405243.0,541.439980052
191048.0,7405145.0,542.217890817
191043.0,7405047.0,542.048533238
191057.0,7404948.0,542.420189788
191063.0,7404848.0,542.838639304
191081.0,7404751.0,543.346222941
191116.0,7404657.0,543.647376612
191152.0,7404564.0,544.623998928
191187.0,7404470.0,545.175758953
191195.0,7404376.0,545.384885298
191155.0,7404285.0,544.696514976
191164.0,7404191.0,545.369605407
191196.0,7404096.0,546.104928381
191198.0,7404000.0,546.180112418
191170.0,7403903.0,546.327624154
191142.0,7403807.0,546.511496832
191120.0,7403710.0,546.870596969
191114.0,7403612.0,546.860741467
191136.0,7403515.0,547.162321944
191158.0,7403417.0,547.530740624
191181.0,7403320.0,547.513508497
191193.0,7403223.0,548.334128959
191134.0,7403142.0,548.532798498
191075.0,7403061.0,548.678261831
191064.0,7402970.0,549.099932732
191131.0,7402896.0,549.517345206
191199.0,7402823.0,550.302674417
191267.0,7402749.0,550.869013056
191336.0,7402677.0,551.371964932
191409.0,7402609.0,551.994206909
191482.0,7402540.0,552.512263798
191555.0,7402471.0,553.131533276
191627.0,7402403.0,553.804695441
191697.0,7402331.0,554.504564014
191746.0,7402244.0,554.512411705
191795.0,7402157.0,555.009736509
191824.0,7402066.0,555.562535828
191814.0,7401966.0,556.004917031
191741.0,7401900.0,555.973063024
191655.0,7401860.0,555.861042153
191558.0,7401877.0,556.272723484
191494.0,7401953.0,555.796637116
191451.0,7402041.0,555.085972498
191426.0,7402138.0,554.305232384
191383.0,7402228.0,553.5630369
191339.0,7402318.0,553.017768944
191270.0,7402389.0,552.411030725
191195.0,7402455.0,551.865366288
191120.0,7402521.0,551.158723378
191047.0,7402589.0,550.439101656
190975.0,7402659.0,550.123502759
190902.0,7402726.0,549.898283166
190826.0,7402790.0,549.70463193
190761.0,7402867.0,549.707651224
190772.0,7402960.0,549.329471142
190804.0,7403054.0,548.860092039
190836.0,7403149.0,548.601302293
190868.0,7403244.0,548.717442422
190880.0,7403342.0,548.054648425
190885.0,7403442.0,547.489558526
190876.0,7403540.0,547.141651701
190836.0,7403631.0,547.02912797
190771.0,7403695.0,547.009152046
190683.0,7403691.0,547.168042169
190608.0,7403625.0,547.945192189
190547.0,7403546.0,548.863842804
190485.0,7403467.0,549.540642783
190423.0,7403389.0,550.597903608
190344.0,7403328.0,551.579056523
190265.0,7403267.0,552.578639179
190180.0,7403245.0,552.888352298
190094.0,7403297.0,552.785028784
190034.0,7403368.0,552.761943932
190013.0,7403466.0,552.350490568
190042.0,7403552.0,551.029799161
190108.0,7403626.0,550.936166922
190184.0,7403687.0,550.19277781
190281.0,7403710.0,549.422858519
190336.0,7403774.0,548.939595505
190354.0,7403873.0,548.508812591
190373.0,7403971.0,548.145780244
190442.0,7404043.0,547.154545963
190513.0,7404114.0,546.813302767
190578.0,7404190.0,546.132410991
